585	chrY	34821	84821	2	N	50000	contig	no
586	chrY	171384	201384	6	N	30000	contig	no
592	chrY	967557	1017557	14	N	50000	contig	no
593	chrY	1054113	1104113	16	N	50000	contig	no
594	chrY	1184234	1274234	19	N	90000	contig	no
9	chrY	2028238	2128238	29	N	100000	contig	no
653	chrY	8974955	9024955	91	N	50000	clone	no
10	chrY	9301322	9901322	96	N	600000	clone	no
83	chrY	10714553	11214553	104	N	500000	clone	no
10	chrY	11253954	11653954	106	N	400000	centromere	no
678	chrY	12208578	12308578	111	N	100000	centromere	no
755	chrY	22310816	22360816	201	N	50000	clone	no
1	chrY	27228749	57228749	246	N	30000000	heterochromatin	no
1022	chrY	57327044	57377044	248	N	50000	clone	no
